"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","SMR.PCPIPCH.A","OBS_VALUE","San Marino, Republic of","All Items, Consumer price index (CPI), Period average, percent change","Annual","Units","1.163","0.473","-0.133","1.616","5.325","5.930","1.244","2.335"
"IMF.RES:WEO(9.0.0)","CHE.LP.A","OBS_VALUE","Switzerland","Population, Persons for countries / Index for country groups","Annual","Millions","8.484","8.545","8.606","8.670","8.739","8.815","8.962","9.026"
"IMF.RES:WEO(9.0.0)","LIE.NGDPDPC.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","174385.361","166126.240","163997.557","201297.542","187182.546","205907.270","207033.982","217927.883"
"IMF.RES:WEO(9.0.0)","NOR.NGDPDPC.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","85385.981","79197.652","70990.273","96320.630","112747.923","90754.513","89683.506","94468.188"
"IMF.RES:WEO(9.0.0)","NOR.BCA_NGDPD.A","OBS_VALUE","Norway","Current account balance (credit less debit), Percent of GDP","Annual","Units","8.578","3.641","1.790","14.433","27.831","17.116","14.999","14.067"
"IMF.RES:WEO(9.0.0)","SWE.LP.A","OBS_VALUE","Sweden","Population, Persons for countries / Index for country groups","Annual","Millions","10.230","10.328","10.379","10.452","10.522","10.552","10.588","10.676"
"IMF.RES:WEO(9.0.0)","SWE.NGDPDPC.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","53728.192","51405.427","52437.634","60435.671","54656.482","54871.777","57125.421","62661.794"
"IMF.RES:WEO(9.0.0)","SWE.BCA_NGDPD.A","OBS_VALUE","Sweden","Current account balance (credit less debit), Percent of GDP","Annual","Units","2.112","5.216","5.661","6.220","3.985","6.222","6.865","6.094"
"IMF.RES:WEO(9.0.0)","NLD.NGDPDPC.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","54138.331","53755.165","53529.218","60380.434","59540.881","63768.728","67690.232","73832.752"
"IMF.RES:WEO(9.0.0)","LIE.LP.A","OBS_VALUE","Liechtenstein, Principality of","Population, Persons for countries / Index for country groups","Annual","Millions","0.038","0.039","0.039","0.039","0.040","0.040","0.041","0.041"
